flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.967883,22.556335,0.81233064,0.0022263027,-0.0097490295,0.32606646,-0.94534685
1,1,1.0424056,-26.392931,-24.872053,0.0085478619,-0.0051898032,0.78006565,-0.62569767
2,1,1.046261,-3.5211155,16.085303,-0.0044769626,0.008941857,-0.53520182,0.84472422
3,1,0.99121082,22.391041,-10.205902,0.0026439577,-0.0096441427,0.22881163,-0.97347072
4,1,1.0084616,-11.083512,19.184393,-0.0097333611,0.0022938354,-0.96566511,0.25979009
5,1,1.0384703,27.923614,20.861619,-0.0067983721,0.0073336306,-0.58205715,0.81314788
6,1,1.0069298,-21.792346,13.356888,0.00044385406,0.0099901448,-0.00047024161,0.99999989
7,1,0.9705324,25.717691,0.9315572,0.004832899,0.0087546038,0.50677312,0.86207947
8,1,1.0272109,8.5336798,-9.7484056,0.0031387004,-0.0094946595,-0.067213249,-0.99773863
9,1,1.0063998,-7.1878044,-7.2630445,0.0068267287,0.0073072413,0.57810457,0.81596269
10,1,0.97662792,3.6904656,4.1617804,-0.0065339263,0.007570192,-0.32742853,0.94487595
11,1,0.96098683,17.6107,-22.281688,0.0075269645,0.0065836772,0.88549427,0.46465029
12,1,1.0499565,14.149918,-12.939711,-0.0094126112,0.0033767958,-0.91636668,0.40034
13,1,0.95467452,23.973995,28.067772,0.0047942686,-0.0087758184,0.51559284,-0.85683372
14,1,0.97427692,-27.284789,-17.211612,0.0085584897,0.005172258,0.85172305,0.52399221
15,1,0.99898403,11.515312,-19.641317,-0.0081653573,0.005772949,-0.9084025,0.41809675
16,1,0.95761294,-23.316986,24.826139,-0.0055051253,0.008348269,-0.52101623,0.85354677
17,1,0.95978179,-27.546716,23.227493,-0.0091469903,0.0040413573,-0.99142026,0.13071289
18,1,1.0371858,-19.127801,18.491643,0.0015841097,0.0098737326,-0.2117314,0.97732789
19,1,1.0312398,7.6464675,11.648397,-0.0017783656,0.0098406004,-0.6089541,0.79320546
20,1,0.98688408,-0.38476635,-18.764281,-0.0024105294,-0.0097051197,-0.46136861,-0.88720855
21,1,0.9707368,6.4045951,-2.2872821,0.0094147517,0.0033708234,0.95682611,0.29066097
22,1,0.99668659,-14.484557,0.38663974,-0.0094326357,0.0033204494,-0.99999882,-0.0015351048
23,1,1.0146192,-12.532426,28.294104,-0.00012245856,-0.0099992502,-0.21109574,-0.97746539
24,1,0.97374971,-9.213748,-23.307009,-0.0013429274,-0.009909417,-0.41761738,-0.90862298
25,1,1.0347672,28.172011,6.045854,0.0013742467,0.0099051222,0.060885416,0.99814476
26,1,1.0330823,-5.7638948,-12.353087,-0.0095751378,0.0028838751,-0.9052135,0.42495707
27,1,1.0278581,14.988468,13.552573,-0.0085437115,-0.005196633,-0.99006421,-0.140616
28,1,1.0096798,-5.3743133,19.86114,0.0055856404,-0.008294614,0.34727522,-0.93776325
29,1,1.0289109,-6.1855446,-22.320709,0.0083574511,0.0054911757,0.71005541,0.7041458
30,1,0.95568623,19.210552,-8.3084308,0.0096463338,-0.0026359523,0.9994035,-0.034534642
31,1,0.96381024,-8.0223374,16.523045,-0.0044549224,-0.008952858,-0.50318059,-0.86418129
32,1,1.0429887,-22.258027,-2.2770399,0.00015960117,0.0099987263,-0.052685528,0.99861115
33,1,0.98749679,28.446495,3.0073651,0.0099143309,-0.0013061555,0.98689606,-0.16135724
34,1,0.98452572,-4.407669,12.402799,0.0091314272,-0.0040764001,0.98760755,-0.1569437
35,1,1.0117439,1.88297,-5.1278053,0.0094634066,0.0032317078,0.77935364,0.62658432
36,1,0.98950919,-21.087944,-4.976407,-0.001478446,0.009890106,-0.23240527,0.97261904
37,1,1.0185412,-13.599954,27.865387,0.0079005942,-0.0061303027,0.91113374,-0.41211079
38,1,1.0340315,-18.361475,15.106439,-0.005294539,0.0084833871,-0.25303634,0.96745677
39,1,1.0167617,16.19449,-2.7324826,-0.0016707867,-0.0098594357,-0.26490291,-0.96427509
40,1,1.0037249,-22.702243,-2.2977942,0.0021238435,-0.0097718621,0.56056994,-0.82810708
41,1,0.95783876,19.273222,-21.393455,-0.0039401701,0.0091910315,-0.081103922,0.99670565
42,1,0.98733083,1.7312569,6.8668057,-0.00032865553,-0.0099945978,0.087913391,-0.99612812
43,1,0.98721556,-12.651529,20.989912,0.0093716261,-0.0034889287,0.99283983,-0.11945324
44,1,0.98280644,-16.39501,19.244219,-0.0089440662,0.0044725474,-0.93025805,0.36690593
45,1,0.98398841,2.6172887,6.2712113,-0.003069661,-0.0095172045,-0.36899346,-0.92943199
46,1,0.95607077,-19.391089,27.0023,0.0044670331,-0.0089468215,0.64073751,-0.76776001
47,1,1.0130859,11.321657,-20.105773,0.0099919832,0.00040034014,0.99813866,-0.060985384
48,1,1.0395539,25.267467,-3.8846774,-0.0061873402,-0.0078560055,-0.63966285,-0.7686556
49,1,0.96143082,-10.638759,-19.101723,-0.0025965788,-0.0096570067,-0.067199594,-0.99773955
50,1,1.002714,-19.327583,-18.321598,-0.009823233,0.0018719222,-0.99997758,0.0066968559
51,1,0.99723825,4.3279699,1.3599008,-0.0077191203,0.0063572935,-0.60094918,0.79928723
52,1,1.0186965,-23.505734,-1.7150251,-0.0099992033,0.00012623008,-0.98881854,0.14912376
53,1,0.99079646,-9.8199263,-23.121886,-0.0074865178,0.0066296344,-0.71430338,0.69983618
54,1,0.98520069,-0.84367131,-11.923232,0.0098757475,-0.0015714999,0.92495809,-0.38006911
55,1,0.97949902,3.123983,-25.046837,-0.0072153604,0.0069237688,-0.72111466,0.69281573
56,1,1.0110863,-7.3648655,-15.345661,0.00068540077,0.0099764836,0.33720442,0.94143145
57,1,0.97165462,17.091457,20.617262,-0.0092989282,-0.0036783059,-0.98055315,-0.19625369
58,1,1.0362705,-26.985144,15.203471,0.0085820977,0.0051329912,0.89291052,0.45023417
59,1,0.96054579,-5.5596458,-1.6209291,0.006069245,-0.0079475949,0.64411361,-0.76492984
60,1,0.98041097,-12.083073,29.004833,-0.0086775934,-0.0049698464,-0.82375995,-0.56693874
61,1,0.99441395,-24.786268,-4.9800788,0.0027783758,0.0096062807,0.43965663,0.89816593
62,1,1.011565,-10.349481,12.046795,-0.0037921,-0.0092531064,-0.27353226,-0.96186283
63,1,1.0038072,-14.437142,21.882672,-0.0099649839,-0.0008361193,-0.98105985,-0.19370483
64,1,0.98786225,-15.745701,-1.4408712,-0.00094240508,-0.0099554946,-0.00047943649,-0.99999989
65,1,0.95870647,18.936559,12.704334,0.0022316703,0.0097478022,0.23891235,0.97104114
