flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.967883,22.607099,0.79744879,-0.009575458,0.0028828117,-0.95406232,0.29960821
1,1,1.0424056,-26.401773,-24.887222,-0.006371007,-0.0077078057,-0.52483119,-0.85120634
2,1,1.046261,-3.4744218,16.10286,0.0095390213,0.0030011787,0.95214909,0.30563394
3,1,0.99121082,22.408418,-10.240189,0.0050651424,-0.008622316,0.2953746,-0.95538152
4,1,1.0084616,-11.140332,19.197553,0.00977163,-0.0021249111,0.99798059,-0.063519576
5,1,1.0384703,27.865032,20.835845,-0.0051579659,-0.0085671108,-0.67735945,-0.73565221
6,1,1.0069298,-21.806926,13.320639,0.0095811267,-0.0028639155,0.99408472,-0.10860737
7,1,0.9705324,25.728263,0.96026724,0.0056046206,-0.008281801,0.59270232,-0.80542161
8,1,1.0272109,8.5262166,-9.7710708,0.0076067227,-0.0064913612,0.62124342,-0.78361764
9,1,1.0063998,-7.1754727,-7.2394253,0.0098674016,-0.0016230791,0.97547214,-0.22012292
10,1,0.97662792,3.6724529,4.1165758,0.0099821672,0.00059694101,0.96477191,0.26308774
11,1,0.96098683,17.627055,-22.260808,0.0064204163,0.0076666978,0.54048779,0.84135186
12,1,1.0499565,14.153707,-12.920777,-0.0099710726,0.00076007264,-0.88675634,0.46223716
13,1,0.95467452,24.006287,28.095148,-0.009999206,0.00012600946,-0.92831936,0.37178376
14,1,0.97427692,-27.294162,-17.291562,-0.0020214215,0.0097935619,-0.22258171,0.97491404
15,1,0.99898403,11.542721,-19.645229,0.0092956256,0.0036866441,0.88973258,0.45648214
16,1,0.95761294,-23.29839,24.872445,-0.0066658545,0.0074542863,-0.75184805,0.65933642
17,1,0.95978179,-27.536842,23.258417,-0.0022118157,0.0097523265,-0.61047056,0.79203895
18,1,1.0371858,-19.07482,18.498666,-0.0076819606,-0.0064021466,-0.79372083,-0.60828221
19,1,1.0312398,7.6467853,11.643234,0.0040545306,0.0091411586,0.81980543,0.57264217
20,1,0.98688408,-0.35007898,-18.81348,-0.00768036,-0.0064040667,-0.65272245,-0.75759713
21,1,0.9707368,6.4105488,-2.3003444,0.007117185,0.0070246478,0.89588755,0.44428088
22,1,0.99668659,-14.492966,0.34417385,-0.0059469839,0.0080394889,-0.63695812,0.77089841
23,1,1.0146192,-12.566261,28.355377,0.0051030757,0.0085999197,0.55958251,0.82877465
24,1,0.97374971,-9.2197043,-23.334265,0.0099893537,0.00046131663,0.99299269,-0.11817582
25,1,1.0347672,28.202514,6.0768184,0.0060586263,0.0079556928,0.71972816,0.69425599
26,1,1.0330823,-5.7607809,-12.295071,0.0099964274,-0.00026728266,0.98221206,0.18777503
27,1,1.0278581,14.974262,13.556173,0.003884343,-0.0092147642,0.35180242,-0.93607428
28,1,1.0096798,-5.4094013,19.889651,-0.0076073415,-0.006490636,-0.94009201,-0.34092084
29,1,1.0289109,-6.145905,-22.327251,0.00015193873,-0.0099988457,0.33828129,-0.94104504
30,1,0.95568623,19.217938,-8.3785104,0.0051230065,-0.0085880617,0.55241494,-0.83356928
31,1,0.96381024,-7.9958704,16.519234,-0.0023056574,-0.0097305675,-0.36331468,-0.93166649
32,1,1.0429887,-22.265369,-2.287936,-0.0070404629,0.0071015408,-0.75492515,0.65581096
33,1,0.98749679,28.515896,2.9927658,0.0036891046,-0.0092946494,0.55353865,-0.83282349
34,1,0.98452572,-4.4281332,12.417477,0.0096313945,-0.0026900261,0.84479453,-0.53509083
