flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.90365,11.083764,0.39000811,-0.0098648528,0.0016384994,-0.9560661,-0.29315116
1,1,1.1272169,-12.890677,-12.127466,-0.0067599995,0.0073690166,-0.66220243,0.74932499
2,1,1.1387831,-1.7033742,7.9304477,-0.009989492,-0.00045831156,-0.99954835,0.030051719
3,1,0.97363246,10.966905,-5.0724826,0.0099922851,-0.0003927327,0.96973524,0.24415891
4,1,1.0253849,-5.3917547,9.4325997,-0.0062227335,-0.0078280003,-0.63659546,-0.77119791
5,1,1.1154108,13.880588,10.317369,0.0036847662,0.0092963701,0.087005455,0.99620784
6,1,1.0207894,-10.672435,6.6334763,0.0032630939,-0.0094526302,0.3275694,-0.94482712
7,1,0.9115972,12.70027,0.34343094,0.0074539834,0.0066661932,0.80595255,0.59198014
8,1,1.0816327,4.0779074,-4.7864386,-0.00074405678,-0.0099722806,-0.2443852,-0.96967823
9,1,1.0191993,-3.5009937,-3.5712697,0.0036840186,-0.0092966664,0.53217738,-0.84663288
10,1,0.92988376,1.7611278,2.0713727,-0.00697498,-0.0071658673,-0.78841289,-0.61514642
11,1,0.8829605,8.670063,-10.916156,-0.0095927673,0.0028246796,-0.90962576,0.41542866
12,1,1.1498694,6.8066556,-6.4557278,-0.0079242479,-0.0060996964,-0.79501599,-0.60658848
13,1,0.86402355,11.878513,13.816967,-0.0078982614,0.006133308,-0.62945516,0.77703681
14,1,0.92283075,-13.445761,-8.5880916,0.007420513,-0.006703431,0.4099147,-0.91212386
15,1,0.99695209,5.6317096,-9.6495034,0.0097795849,0.0020879941,0.96677975,0.25561085
16,1,0.87283883,-11.411486,12.213592,-0.0021255284,-0.0097714957,-0.096079993,-0.99537362
17,1,0.87934537,-13.626763,11.407743,0.00047234836,0.0099888381,0.22387083,0.97461882
18,1,1.1115574,-9.4944363,9.0197776,0.0070801472,0.0070619767,0.52930831,0.84842956
19,1,1.0937195,3.794397,5.7748878,0.00018681145,-0.0099982549,-0.14465905,-0.98948156
