flag,type,radius,x,y,vx,vy,nx,ny
0,1,0.967883,2.1586326,0.44960049,0.0035367258,0.00578365,0.91906974,0.39409492
1,1,1.0424056,-5.8881597,-6.2346177,-0.15665026,0.0098780517,-0.58497273,0.81105296
2,1,1.046261,-0.61693031,2.090332,-0.0059442191,0.0077775668,-0.49456121,0.8691428
3,1,0.99121082,7.0856683,-4.9231669,0.00075706822,-0.0090106818,-0.67708928,0.73590088
4,1,1.0084616,0.51508956,7.9126894,0.0026953312,-0.0013487245,-0.094053319,-0.99556716
5,1,1.0384703,5.1274804,2.2550808,0.0069911506,-0.00050696944,-0.33427698,-0.94247488
6,1,1.0069298,-3.2540192,1.5372177,-0.0078027017,0.015392396,-0.25198805,0.96773035
7,1,0.9705324,6.2635375,0.62595356,-0.00062441713,-0.0076779076,-0.51304145,0.85836383
8,1,1.0272109,0.3116385,-3.000997,-0.015294325,0.014548373,-0.98613882,0.16592233
9,1,1.0063998,-2.4442655,-1.4139443,0.0068015205,-0.0026100729,0.91913818,0.39393528
10,1,0.97662792,0.28985694,0.37983654,-0.0014833942,0.0034210483,-0.67267787,-0.73993546
11,1,0.96098683,2.1666696,-2.9191783,-0.0083874037,-0.0098304765,-0.82979121,-0.55807396
12,1,1.0499565,3.1609135,-1.2165419,-0.005965429,0.0055883352,0.24689153,0.96904312
13,1,0.95467452,3.6981217,5.7299256,-0.0087925299,0.0022282069,-0.58457354,-0.81134073
14,1,0.97427692,-9.5588671,-0.73986477,-0.026162955,-0.01416172,0.203681,-0.97903731
15,1,0.99898403,1.187062,-4.7329363,0.0097844206,0.024760711,-0.048856584,0.9988058
16,1,0.95761294,-4.6617537,5.6117957,0.013750708,0.0042253575,0.91161198,-0.41105183
17,1,0.95978179,-5.9173475,4.1987975,0.00070106716,0.003240899,0.91820653,-0.39610196
18,1,1.0371858,-5.2357206,2.3055315,-0.017192238,0.017840759,-0.74868639,0.66292435
19,1,1.0312398,1.3257032,2.6491464,0.0099994752,-0.0003854078,0.1279565,-0.99177978
20,1,0.99929568,-1.6558151,0.37349859,-0.0058141253,0.001123223,0.82860378,-0.5598355
21,1,1.0109345,-6.096916,-1.0220745,-7.8767478e-05,0.0059901892,-0.9780691,0.20828066
22,1,0.97558456,-4.1435342,-6.4036137,-0.14205603,0.20333314,0.12774809,-0.99180665
23,1,0.97894475,3.1822768,2.0145431,0.0093465814,-0.00084139791,0.19723728,-0.98035578
24,1,0.98438329,-2.128155,-8.5421351,0.10777214,-0.1610019,0.7654042,-0.64354985
25,1,1.0478007,10.484938,-7.0972215,0.04658392,0.065410586,0.5863356,0.81006825
26,1,0.99029578,3.1071033,3.9077327,-0.00011712371,0.0049044855,-0.89072358,-0.45454538
27,1,1.0255129,-4.2871859,-1.4501344,0.0021049078,0.015484231,-0.99567954,-0.092856062
28,1,0.99093793,-4.0219744,3.8513948,-0.0094308589,0.0044533249,-0.87709059,0.48032498
29,1,0.98945497,-0.46865354,4.0771331,-0.0041803714,0.0087735154,0.037525574,0.99929567
30,1,1.0324303,4.3111753,0.41088556,0.0031205692,0.011577705,-0.88255048,0.47021767
31,1,0.98641961,-5.5603367,-2.9143361,0.008287064,0.011572993,-0.9458711,-0.32454255
32,1,0.96224107,-3.4326747,8.6401728,0.012155783,0.0094245834,-0.99848024,0.055110917
33,1,1.0482294,-2.1003504,5.2229149,0.0030504005,0.025138235,0.069940891,0.99755114
34,1,0.99256675,3.0641915,-4.5960987,0.0050393873,0.0075136291,0.9672931,0.25366129
35,1,1.0031285,-4.6611587,-4.6358961,-0.061491533,0.043896255,-0.88076429,0.47355493
36,1,0.96424345,-1.4817367,-6.5786279,0.065560458,0.02690679,-0.090884732,0.99586142
37,1,0.97698043,8.4353244,-0.21175917,-0.032519493,0.0089291292,-0.1221662,-0.99250966
38,1,0.96894309,-7.4257522,-2.4484263,0.011342095,0.0017734069,0.98238013,0.18689377
39,1,1.0273204,0.22710267,9.9026112,0.0044779597,0.0045235597,0.10602696,-0.99436326
40,1,0.96148565,1.2499798,-1.2579665,-0.0010465774,0.0053167257,0.22533379,0.97428163
41,1,1.0327102,-10.606982,0.80657794,-0.033772038,0.017785117,-0.61133859,-0.79136915
42,1,1.002963,-13.097773,-8.0039243,-0.02712686,-0.029302529,0.34483925,-0.93866175
43,1,0.97858446,5.0721048,8.9321439,-0.0011667696,0.011999307,0.053974619,-0.99854231
44,1,0.97221952,1.5053621,-7.9748997,0.025012981,-0.0019696581,0.79872846,-0.60169166
45,1,1.0045517,5.1326679,-1.4232641,-0.0077576842,0.0013112659,-0.61426574,-0.78909924
46,1,0.967105,6.8742205,3.1039606,0.0026227535,0.04285179,0.45117202,0.89243701
47,1,1.0193432,-8.587423,1.2646817,-0.016681404,0.0024038757,0.40987891,-0.91213995
48,1,1.0427845,5.0544887,4.2968263,0.01099959,0.015269313,0.76609736,0.64272454
49,1,0.98195064,-0.60610108,-1.2909979,-0.0039043605,0.0083172957,-0.56656993,0.82401366
50,1,0.96729188,2.6903267,-6.4859244,-0.004446685,0.013525287,-0.53643505,0.84394161
51,1,1.0073164,10.10644,-0.97280284,-0.028905467,-0.044120036,0.97641843,-0.21588665
