flag,type,radius,x,y,vx,vy,nx,ny
0,0,1,-5,5,0,0,1,0
1,0,1,-4,5,0,0,1,0
2,0,1,-3,5,0,0,1,0
3,0,1,-2,5,0,0,1,0
4,0,1,-1,5,0,0,1,0
5,0,1,0,5,0,0,1,0
6,0,1,1,5,0,0,1,0
7,0,1,2,5,0,0,1,0
8,0,1,3,5,0,0,1,0
9,0,1,4,5,0,0,1,0
10,0,1,5,5,0,0,1,0
11,0,1,5,-5,0,0,1,0
12,0,1,5,-4,0,0,1,0
13,0,1,5,-3,0,0,1,0
14,0,1,5,-2,0,0,1,0
15,0,1,5,-1,0,0,1,0
16,0,1,5,0,0,0,1,0
17,0,1,5,1,0,0,1,0
18,0,1,5,2,0,0,1,0
19,0,1,5,3,0,0,1,0
20,0,1,5,4,0,0,1,0
21,0,1,5,5,0,0,1,0
22,0,1,-5,-5,0,0,1,0
23,0,1,-4,-5,0,0,1,0
24,0,1,-3,-5,0,0,1,0
25,0,1,-2,-5,0,0,1,0
26,0,1,-1,-5,0,0,1,0
27,0,1,0,-5,0,0,1,0
28,0,1,1,-5,0,0,1,0
29,0,1,2,-5,0,0,1,0
30,0,1,3,-5,0,0,1,0
31,0,1,4,-5,0,0,1,0
32,0,1,5,-5,0,0,1,0
33,0,1,-5,-5,0,0,1,0
34,0,1,-5,-4,0,0,1,0
35,0,1,-5,-3,0,0,1,0
36,0,1,-5,-2,0,0,1,0
37,0,1,-5,-1,0,0,1,0
38,0,1,-5,0,0,0,1,0
39,0,1,-5,1,0,0,1,0
40,0,1,-5,2,0,0,1,0
41,0,1,-5,3,0,0,1,0
42,0,1,-5,4,0,0,1,0
43,0,1,-5,5,0,0,1,0
44,1,0.96788323,3.1442499,0.52253939,-0.10473465,-0.046184274,-0.18370088,0.98298219
45,1,1.0424056,-2.6960593,-3.0336766,-0.77431102,-0.12963023,-0.89618286,0.4436849
46,1,1.046261,0.43777515,3.0612079,0.10615048,-0.17309333,-0.10591979,0.99437468
47,1,0.99121082,3.1295531,-1.5260062,-0.30025839,-0.27200339,0.94170605,0.33643679
48,1,1.0084616,-1.3263564,3.0930486,0.56795349,-0.32710757,0.53708711,0.84352678
49,1,1.0384703,2.956133,2.0267764,-0.044918571,-0.3187442,0.85831843,0.51311741
50,1,1.0069298,-3.0573464,1.0300771,0.00096216088,-0.39297542,-0.86457465,0.5025044
51,1,0.9705324,3.0891271,-0.57652761,-0.033059858,0.28555416,0.84681079,-0.53189425
52,1,1.0272109,-0.072207059,-2.4031628,0.4489434,-0.0081621115,0.23168199,-0.97279158
53,1,1.0063998,-0.60451912,-0.9406906,0.16604503,-0.58936795,0.79870487,-0.60172297
54,1,0.97662792,0.61998693,0.34262429,-0.39514411,0.46375139,0.14901534,0.98883488
55,1,0.96098683,3.0592969,-3.1041987,0.0022286546,-0.0088119268,-0.98910045,-0.14724232
56,1,1.0499565,1.8697122,-1.9789554,-0.062571935,-0.34679496,0.98402996,-0.17800294
57,1,0.95467452,3.0816324,3.1574006,0.59566099,0.40409212,-0.39714553,0.91775565
58,1,0.97427692,-3.1061798,-1.542038,0.25229498,0.41584019,0.4191931,-0.9078971
59,1,0.99898403,1.1052468,-3.1249634,0.28256687,0.25390503,0.40858552,-0.91272004
60,1,0.95761294,-2.5112956,3.1420547,-0.033773956,-0.0026221257,0.98623288,-0.16536234
61,1,0.95978179,-3.1581446,2.5399846,0.0073069289,-0.07559599,0.45582641,0.8900687
62,1,1.0371858,-1.74758,1.4644193,0.49278481,0.43413963,0.97432084,0.22516418
63,1,1.0312398,0.92088661,1.7137862,-1.2254027,-0.16065463,-0.97014818,-0.24251288
